0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Year
21,SRIKAKULAM,59366.96,100.37,22959.33,13998.24,3140.26,340.26,85466.56,14438.87,99905.43,436672,706609,26840719,61.47,220.85,34010,60431,331.33,2020
22,TIRUPATI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
23,VISAKHAPATANAM,61274.06,471.24,21924.06,10630.86,2488.07,321.18,85686.19,11423.28,97109.47,384628,649550,26221679,68.17,233.33,64123,75944,331.39,2020
24,VIZIANAGARAM,73079.12,106.37,16909.75,14415.12,2584.35,258.56,92573.21,14780.05,107353.26,410000,716160,30693802,74.86,238.13,34130,47212,310.72,2020
25,WEST GODAVARI,34544.17,256.41,29111.11,11350.45,1621.06,163.39,65276.34,11770.25,77046.59,342734,549155,15463552,45.12,221.44,48636,51809,415.76,2020
26,Y.S.R,35087.99,144.42,18389.43,16684.35,2489.7,260.89,55967.12,17089.67,73056.78,255741,413871,14884967,58.2,235.43,34779,53422,393.12,2020
,Total,592688.28,2456.93,292061.76,171038.47,31544.28,3259.09,916294.3,176754.51,1093048.8,4752491,7952471,258584109,54.41,228.74,609092,766619,366.92,2020
SNo.,District,Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Employment Provided,Employment Provided,Employment Provided,Average days of employment provided per HH,Average Wage per personday (In Rs.),Works,Works,Cost Per Personday(in Rs.),2021
SNo.,District,On Unskilled Wage,On Unskilled Wage,On Material,On Material,Adm.Exp,Adm.Exp,Total,Total,Total,Household,Persons,Persondays,Average days of employment provided per HH,Average Wage per personday (In Rs.),comp.,In-prog.,Cost Per Personday(in Rs.),2021
SNo.,District,2021-2022,Paid Liability of previous years,2021-2022,Paid Liability of previous years,2021-2022,Paid Liability of previous years,2021-2022,Paid Liability of previous years,Total,Household,Persons,Persondays,Average days of employment provided per HH,Average Wage per personday (In Rs.),comp.,In-prog.,Cost Per Personday(in Rs.),2021
1,ALLURI SITHARAMA RAJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
2,ANAKAPALLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
3,ANANTAPUR,57461.95,145.64,5983.56,15870.15,1909.13,405.19,65354.65,16420.98,81775.63,407198,726112,25534707,62.71,225.37,23806,84065,303.18,2021
4,ANNAMAYYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
5,BAPATLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
6,CHITTOOR,39051.24,41.19,12307.96,14423.44,1402.68,406.59,52761.89,14871.21,67633.1,313104,503284,16969866,54.2,231.51,23528,129713,378.76,2021
7,EAST GODAVARI,43527.73,82.25,15006.93,12763.69,1301.12,418.39,59835.78,13264.33,73100.11,415189,612335,19580495,47.16,226.82,30859,60129,367.75,2021
8,ELURU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
9,GUNTUR,30083.44,25.81,8743.76,22806.16,911.32,325.55,39738.52,23157.51,62896.04,344954,594978,14190364,41.14,213.9,30621,48732,437.42,2021
10,KAKINADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
11,KONASEEMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
12,KRISHNA,34337.07,32.73,8189.61,13843.94,878.02,331.27,43404.69,14207.94,57612.64,323058,557377,15686705,48.56,223.76,29184,65540,374.37,2021
13,KURNOOL,31279.17,31.24,8310.13,13440.08,1364.35,315.97,40953.65,13787.29,54740.95,345157,606032,15228903,44.12,207.88,25234,55467,344.19,2021
14,NANDYAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
15,NELLORE,26906.8,26.25,7698.58,7362.47,881.6,386.11,35486.98,7774.84,43261.82,263898,418630,12887274,48.83,211.18,22862,43383,335.87,2021
16,NTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
17,PALNADU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
18,PARVATHIPURAM MANYAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
19,PRAKASAM,45137.6,54.67,10127.33,19262.89,1292.59,384.78,56557.53,19702.35,76259.88,465062,793584,22242812,47.83,204.75,21232,47252,338.04,2021
20,SRI SATHYA SAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
21,SRIKAKULAM,42785.58,68.41,6649.2,12292.82,1359,347.37,50793.78,12708.6,63502.38,426409,670398,21809107,51.15,197.26,16003,60946,278.24,2021
22,TIRUPATI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
23,VISAKHAPATANAM,45202.27,34.76,3554.59,13232.61,1087.01,235.51,49843.87,13502.88,63346.75,366750,603766,20834382,56.81,219.25,39090,57379,295.85,2021
